Id,SalePrice
1461,127596.59
1462,165527.01
1463,179337.38
1464,182159.33
1465,199214.48
1466,174849.27
1467,174059.12
1468,163231.15
1469,190588.39
1470,123322.53
1471,208549.74
1472,91797.34
1473,90762.55
1474,152832.34
1475,137137.66
1476,342752.63
1477,253850.69
1478,295186.87
1479,277592.84
1480,563176.05
1481,292440.62
1482,218359.92
1483,167671.92
1484,173883.17
1485,168447.32
1486,192038.13
1487,319934.43
1488,240447.4
1489,200249.34
1490,217631.24
1491,188769.09
1492,95371.53
1493,182123.46
1494,287345.54
1495,293953.35
1496,240762.21
1497,182219.32
1498,167074.02
1499,166662.25
1500,152019.17
1501,164954.71
1502,157478.77
1503,300358.24
1504,228486.82
1505,224186.41
1506,189210.56
1507,227143.49
1508,194236.13
1509,169619.68
1510,143752.26
1511,143014.53
1512,179965.48
1513,143289.58
1514,177267.74
1515,174246.29
1516,157862.4
1517,162300.11
1518,135223.43
1519,224128.71
1520,134529.68
1521,138720.24
1522,162268.62
1523,108062.93
1524,124911.1
1525,125292.51
1526,120413.88
1527,106785.17
1528,132058.13
1529,145329.79
1530,185360.99
1531,103753.39
1532,110326.76
1533,139185.12
1534,116000.29
1535,147938.29
1536,111639.62
1537,63030.64
1538,182107.57
1539,197710.89
1540,104094.18
1541,146036.1
1542,132267.04
1543,218371.87
1544,87380.18
1545,106028.57
1546,124101.03
1547,130071.46
1548,136383.36
1549,114699.83
1550,137261.88
1551,118112.8
1552,136999.74
1553,154437.01
1554,107750.44
1555,164900.51
1556,83634.67
1557,116652.49
1558,97778.57
1559,105282.58
1560,137011.47
1561,149032.29
1562,131804.7
1563,122919.04
1564,168140.54
1565,144954.63
1566,245339.49
1567,76964.49
1568,212663.27
1569,143440.28
1570,135541.11
1571,129915.36
1572,151348.17
1573,266007.39
1574,109409.2
1575,230659.63
1576,214293.86
1577,190342.83
1578,151844.3
1579,145507.05
1580,191572.86
1581,145946.59
1582,128591.19
1583,327743.87
1584,234871.22
1585,140761.75
1586,80588.25
1587,96510.57
1588,153249.11
1589,99623.5
1590,139639.57
1591,99088.68
1592,120071.97
1593,135248.47
1594,139704.11
1595,122840.14
1596,234663.42
1597,188785.06
1598,211266.6
1599,208638.8
1600,201725.02
1601,78334.6
1602,115654.34
1603,101118.12
1604,288933.05
1605,254131.23
1606,158234.29
1607,191106.49
1608,211749.58
1609,191045.97
1610,150639.61
1611,140187.71
1612,174617.61
1613,154087.8
1614,132741.03
1615,95603.18
1616,78137.45
1617,91272.66
1618,127001.23
1619,137078.83
1620,148674.09
1621,136010.94
1622,143366.47
1623,281419.77
1624,206419.57
1625,127353.47
1626,183176.69
1627,185420.35
1628,284094.99
1629,183422.38
1630,411380.6
1631,231208.47
1632,243707.26
1633,164581.94
1634,180531.41
1635,181052.52
1636,150787.04
1637,184978.66
1638,208867.74
1639,186564.11
1640,253524.59
1641,178185.03
1642,212238.28
1643,228925.33
1644,227119.93
1645,193748.74
1646,157372.86
1647,172483.45
1648,128482.06
1649,136686.63
1650,115722.8
1651,125158.93
1652,94499.59
1653,96371.53
1654,160428.9
1655,160976.85
1656,147806.08
1657,149712.13
1658,152431.42
1659,142518.06
1660,149160.01
1661,450996.72
1662,410521.51
1663,374953.64
1664,572669.13
1665,300838.91
1666,336963.13
1667,349178.39
1668,331246.78
1669,312122.96
1670,328356.18
1671,244026.67
1672,532179.31
1673,299645.36
1674,242547.27
1675,178094.28
1676,180375.46
1677,211757.25
1678,527362.65
1679,411170.07
1680,351860.39
1681,274973.13
1682,305315.38
1683,180124.3
1684,174912.43
1685,167277.23
1686,175287.61
1687,163726.03
1688,185176.52
1689,188144.3
1690,185087.94
1691,172329.81
1692,279333.95
1693,167643.32
1694,176000.92
1695,170757.24
1696,278177.54
1697,175582.48
1698,375684.87
1699,304129.39
1700,245125.19
1701,261257.05
1702,250226.73
1703,248012.93
1704,290423.24
1705,246133.77
1706,514252.69
1707,230991.38
1708,202262.68
1709,278620.78
1710,231766.52
1711,265332.87
1712,230359.55
1713,267453.08
1714,221158.91
1715,201174.1
1716,184362.69
1717,183190.79
1718,146471.05
1719,202470.25
1720,254401.72
1721,178705.3
1722,137302.76
1723,157088.91
1724,220940.0
1725,238346.39
1726,187143.37
1727,157140.47
1728,187714.61
1729,158069.2
1730,157846.73
1731,114202.51
1732,134553.76
1733,119734.57
1734,129446.84
1735,135370.65
1736,113391.75
1737,329241.89
1738,198506.81
1739,307719.83
1740,214024.34
1741,181408.35
1742,164954.71
1743,173198.07
1744,284547.73
1745,208102.71
1746,200134.79
1747,223389.18
1748,223044.75
1749,150008.41
1750,129922.02
1751,236512.21
1752,125257.36
1753,142348.5
1754,211910.78
1755,163816.02
1756,129261.53
1757,126305.1
1758,143514.83
1759,159629.95
1760,159864.44
1761,143392.89
1762,183390.92
1763,177763.54
1764,115586.26
1765,168450.32
1766,187772.24
1767,210994.55
1768,143509.46
1769,179983.48
1770,139351.45
1771,131032.28
1772,132111.4
1773,126828.76
1774,139712.45
1775,140143.23
1776,128812.48
1777,113912.28
1778,139849.74
1779,113275.39
1780,174344.82
1781,138755.09
1782,89510.71
1783,124777.54
1784,95223.54
1785,121640.6
1786,161004.19
1787,158006.12
1788,66255.98
1789,116231.61
1790,81455.96
1791,177354.4
1792,156809.42
1793,138174.13
1794,146943.5
1795,138726.16
1796,128548.17
1797,123916.05
1798,124157.18
1799,121835.52
1800,128683.2
1801,126247.52
1802,143505.43
1803,152869.3
1804,138663.07
1805,142605.96
1806,109363.83
1807,134036.94
1808,123242.23
1809,121063.06
1810,138554.86
1811,109092.27
1812,106824.32
1813,118737.1
1814,96268.52
1815,60944.79
1816,96671.94
1817,106159.38
1818,144106.71
1819,123348.05
1820,70813.42
1821,119230.21
1822,147899.03
1823,48411.5
1824,136919.03
1825,125717.81
1826,98014.87
1827,97482.11
1828,128430.54
1829,112144.62
1830,143178.98
1831,168090.27
1832,93337.21
1833,139284.97
1834,118677.94
1835,153564.73
1836,124329.26
1837,100544.1
1838,125492.9
1839,85786.15
1840,156644.98
1841,138358.35
